,Actb,Gadph,Metabolic process,#Detected Genes,Mapping rate
ola_mES_2i_1_1.counts,0.006805259,0.00015504,0.023556419,11947,0.775385676
ola_mES_2i_1_10.counts,0.008647994,0.00023053,0.030453829,11894,0.790886637
ola_mES_2i_1_11.counts,0.009517874,0.000172775,0.02402108,12321,0.774220237
ola_mES_2i_1_12.counts,0.008870822,0.000156907,0.027983323,12664,0.830620715
ola_mES_2i_1_13.counts,0.010301267,0.000118918,0.025333611,12934,0.78951195
ola_mES_2i_1_14.counts,0.010534167,0.000189363,0.027260716,12439,0.765325637
ola_mES_2i_1_15.counts,0.009611601,0.000128883,0.022688724,13124,0.774712995
ola_mES_2i_1_16.counts,0.009535653,0.000150644,0.02637942,13216,0.813592541
ola_mES_2i_1_17.counts,0.009805035,0.00014576,0.024966139,12674,0.800418826
ola_mES_2i_1_18.counts,0.009660712,0.00017774,0.029161752,12696,0.816702828
ola_mES_2i_1_19.counts,0.009856406,0.000117694,0.026483395,13282,0.798557822
ola_mES_2i_1_2.counts,0.008924162,0.000221643,0.023770059,11953,0.818775119
ola_mES_2i_1_20.counts,0.009961384,0.000158005,0.026740038,12871,0.812273604
ola_mES_2i_1_21.counts,0.007206382,0.000167045,0.026115453,12980,0.814534162
ola_mES_2i_1_22.counts,0.007842533,0.000236473,0.024253043,11754,0.824330999
ola_mES_2i_1_23.counts,0.010187474,0.000134898,0.023102769,12011,0.782726684
ola_mES_2i_1_24.counts,0.006051875,0.000123258,0.027047531,11558,0.778580841
ola_mES_2i_1_25.counts,0.009089917,0.000154799,0.026386222,12897,0.764638155
ola_mES_2i_1_26.counts,0.006861495,0.000122263,0.024554255,12931,0.751398435
ola_mES_2i_1_27.counts,0.007210938,0.000160419,0.024331879,12210,0.787756006
ola_mES_2i_1_28.counts,0.009434286,0.000159695,0.025923033,12366,0.805786285
ola_mES_2i_1_29.counts,0.007987034,0.000124864,0.025028672,12699,0.809954228
ola_mES_2i_1_3.counts,0.007277348,0.000140219,0.024976059,12851,0.806350301
ola_mES_2i_1_30.counts,0.010445545,0.000166673,0.027137183,12870,0.800224237
ola_mES_2i_1_31.counts,0.007611419,0.00010148,0.024359083,13133,0.791948792
ola_mES_2i_1_32.counts,0.006245752,0.00013081,0.026028086,12295,0.822189024
ola_mES_2i_1_33.counts,0.00625658,0.000352159,0.028133279,11653,0.797979464
ola_mES_2i_1_34.counts,0.007387416,0.000126561,0.025164829,12999,0.788614973
ola_mES_2i_1_35.counts,0.003315449,0.000119314,0.016256393,12145,0.662940988
ola_mES_2i_1_36.counts,0.00591605,0.000213613,0.026469629,11281,0.824756976
ola_mES_2i_1_37.counts,0.006443656,0.000152427,0.027710983,12830,0.810273768
ola_mES_2i_1_38.counts,0.006877823,0.000141059,0.025189022,12813,0.784876228
ola_mES_2i_1_39.counts,0.006013458,0.000123727,0.023259618,12472,0.819934039
ola_mES_2i_1_4.counts,0.006729896,0.000146231,0.024176934,12439,0.804622874
ola_mES_2i_1_40.counts,0.009178548,0.000201908,0.025173149,13129,0.811094738
ola_mES_2i_1_41.counts,0.008676423,0.000177665,0.027207263,11926,0.776140156
ola_mES_2i_1_42.counts,0.008266327,0.000161547,0.02570643,12654,0.799665674
ola_mES_2i_1_43.counts,0.007008164,0.000134098,0.025973781,12483,0.801871752
ola_mES_2i_1_44.counts,0.005978581,0.000207525,0.028075586,12833,0.807070385
ola_mES_2i_1_45.counts,0.008149099,0.000159022,0.027106048,13524,0.802314325
ola_mES_2i_1_46.counts,0.007652904,0.000188222,0.026741804,12693,0.803316168
ola_mES_2i_1_47.counts,0.004516545,0.000106862,0.027325341,12250,0.812215622
ola_mES_2i_1_48.counts,0.00348108,6.98E-05,0.024592801,11850,0.840421839
ola_mES_2i_1_49.counts,0.004281486,0.000152956,0.026087012,13623,0.806279076
ola_mES_2i_1_5.counts,0.007515271,9.01E-05,0.02349624,12100,0.759671441
ola_mES_2i_1_50.counts,0.007107258,0.00016817,0.026777464,12934,0.783148156
ola_mES_2i_1_51.counts,0.004951522,0.000119803,0.021391955,13650,0.730027056
ola_mES_2i_1_52.counts,0.006847745,0.00020869,0.030719603,13066,0.781059997
ola_mES_2i_1_53.counts,0.006337308,8.74E-05,0.02458104,13144,0.791195588
ola_mES_2i_1_54.counts,0.003251965,1.56E-05,0.016906759,12260,0.74064013
ola_mES_2i_1_55.counts,0.005057859,9.14E-05,0.025019832,13918,0.766922846
ola_mES_2i_1_56.counts,0.005048143,0.000113764,0.026304587,13910,0.788308977
ola_mES_2i_1_57.counts,0.007666799,0.000242344,0.028879281,13923,0.776910679
ola_mES_2i_1_58.counts,0.007292299,0.000140191,0.026867004,13109,0.781517658
