,Mapped,Detected genes,Metabolic Process,Actb,Gadph,Quality
ola_mES_2i_1_1.counts,0.8772846999338797,0.8227649913887585,0.2768271625350723,0.1255493083771101,0.24873578560977488,1
ola_mES_2i_1_10.counts,0.8959745933909463,0.8186159386253327,0.3590494915142707,0.15991431197728265,0.36984688246014835,1
ola_mES_2i_1_11.counts,0.8758795012019617,0.8520432127759512,0.28236627208573023,0.17613662789992918,0.2771886310547527,1
ola_mES_2i_1_12.counts,0.9438829575520308,0.8788946297166119,0.3295991968272674,0.1640698118306089,0.2517310752881382,1
ola_mES_2i_1_13.counts,0.8943170991512784,0.9000313136057617,0.2980126314695274,0.19074605533542582,0.19078406961521677,1
ola_mES_2i_1_14.counts,0.8651550611918731,0.8612807264756537,0.32098517642298935,0.1950893870344928,0.30380130656878096,1
ola_mES_2i_1_15.counts,0.8764736317542622,0.9149052763425708,0.26648358375062925,0.17788453451288944,0.20677124778602046,1
ola_mES_2i_1_16.counts,0.9233516654709533,0.9221074056677626,0.31047946346115995,0.17646818691357327,0.24168313781862052,1
ola_mES_2i_1_17.counts,0.9074677902851659,0.8796774698606544,0.29363208809532687,0.18149186823499044,0.2338475755319968,1
ola_mES_2i_1_18.counts,0.9271018157133092,0.8813997181775481,0.3436469592361467,0.17880040124999927,0.28515414431296043,1
ola_mES_2i_1_19.counts,0.9052239315667824,0.9272741506184438,0.31171892387537514,0.18244988151413502,0.1888203660446133,1
ola_mES_2i_1_2.counts,0.9296004284123567,0.823234695475184,0.2793739124546966,0.16506454481827842,0.35558917524450034,1
ola_mES_2i_1_20.counts,0.9217613903901644,0.8950994206982934,0.31477830198631945,0.18440760704056117,0.25349263290294427,1
ola_mES_2i_1_21.counts,0.9244870012844515,0.9036323782683576,0.3073327777467175,0.13302981606764183,0.2679958030649177,1
ola_mES_2i_1_22.counts,0.9362992908416117,0.8076561766087365,0.28513144598390383,0.14489334034283788,0.37938143337525987,1
ola_mES_2i_1_23.counts,0.8861359355048533,0.8277751683106309,0.27141931240851563,0.1886239396461518,0.2164213106758734,1
ola_mES_2i_1_24.counts,0.8811371896877567,0.7923125097855018,0.3184438504465097,0.11149951615396764,0.19774687475935007,1
ola_mES_2i_1_25.counts,0.8643261470791512,0.8971348050728042,0.31056054843098435,0.16815569529392826,0.24834914136098776,1
ola_mES_2i_1_26.counts,0.848362688026426,0.8997964615625489,0.2887221201871892,0.12659804861510376,0.19615056344174348,1
ola_mES_2i_1_27.counts,0.8921999138827925,0.8433536871770785,0.28607123055918704,0.13311478051255787,0.25736549272274556,1
ola_mES_2i_1_28.counts,0.9139394688375585,0.8555659934241427,0.305038986230456,0.17457780260984068,0.2562039556434017,1
ola_mES_2i_1_29.counts,0.9189648611732417,0.881634570220761,0.29437752861547234,0.14758812683423708,0.20032343352927587,1
ola_mES_2i_1_3.counts,0.9146195169292916,0.8935337404102083,0.293750341976635,0.13435325478535753,0.224957966475858,1
ola_mES_2i_1_30.counts,0.9072331694975956,0.8950211366838892,0.3195125698988321,0.1934366831193588,0.2673989911954206,1
ola_mES_2i_1_31.counts,0.897255260040252,0.9156098324722092,0.286395522755468,0.14058331560132578,0.1628077110660472,1
ola_mES_2i_1_32.counts,0.9337166584140028,0.8500078284014404,0.30629129721766024,0.11511511134426393,0.20986279744333497,1
ola_mES_2i_1_33.counts,0.9045265909696387,0.7997494911539064,0.3313867854387034,0.11531704176778261,0.5649802987909747,1
ola_mES_2i_1_34.counts,0.8932355917167756,0.9051197745420385,0.2960006227401975,0.1364059032759239,0.20304598660061093,1
ola_mES_2i_1_35.counts,0.7417073484049596,0.8382652262408016,0.18980534719732936,0.06046814737787899,0.19141938547629436,0
ola_mES_2i_1_36.counts,0.9368129018845115,0.7706278377955221,0.31155482277355173,0.10896652762659206,0.34270638139487125,1
ola_mES_2i_1_37.counts,0.9193501384831627,0.8918897761077188,0.32635269863820876,0.11880580570481418,0.24454366352645227,1
ola_mES_2i_1_38.counts,0.8887276940636469,0.8905589478628464,0.29628902154569026,0.12690254805684859,0.2263056061811741,1
ola_mES_2i_1_39.counts,0.9309977670241539,0.8638640989509943,0.273289070778405,0.11078308088611426,0.19849930692815157,1
ola_mES_2i_1_4.counts,0.9125367153155816,0.8612807264756537,0.28422416930522626,0.12414387039155068,0.23460321636676337,1
ola_mES_2i_1_40.counts,0.9203400023910487,0.9152966964145921,0.29609980341484304,0.16980856704927394,0.3239276638344842,1
ola_mES_2i_1_41.counts,0.8781943951982887,0.821121027086269,0.3203479763506542,0.16044448190803737,0.2850338193392715,1
ola_mES_2i_1_42.counts,0.906559696223322,0.8781117895725693,0.3024569151162434,0.15279663752649777,0.25917518032702724,1
ola_mES_2i_1_43.counts,0.9092196192292554,0.864725223109441,0.3056439406627772,0.12933326594859648,0.21513784428985805,1
ola_mES_2i_1_44.counts,0.9154877400826908,0.8921246281509316,0.33069904136871237,0.11013266276817368,0.33293920219729445,1
ola_mES_2i_1_45.counts,0.9097532404813168,0.9462188821042743,0.31914141721793193,0.15061046282311336,0.2551242395461663,1
ola_mES_2i_1_46.counts,0.9109611874551016,0.8811648661343354,0.3147993540381733,0.14135696573243695,0.3019707626357266,1
ola_mES_2i_1_47.counts,0.9216914800534809,0.8464850477532487,0.3217555551608461,0.08286728147157821,0.17144223117796545,1
ola_mES_2i_1_48.counts,0.955700416051507,0.8151714419915453,0.2891816175771997,0.06355698538839064,0.1119824421798393,1
ola_mES_2i_1_49.counts,0.914533639178778,0.9539689995302959,0.3069937395775356,0.07848368677062938,0.24539235567420487,1
ola_mES_2i_1_5.counts,0.8583376567209263,0.83474244559261,0.2761097834702293,0.13879025997143357,0.14455040172497882,1
ola_mES_2i_1_50.counts,0.8866441147574258,0.9000313136057617,0.3152244481316661,0.1311812612744331,0.26980067767025184,1
ola_mES_2i_1_51.counts,0.8225946858657477,0.9560826679192109,0.2510251192939671,0.09097912944266046,0.19220390430474624,1
ola_mES_2i_1_52.counts,0.8841263696168882,0.9103648035071239,0.36221771803148767,0.12634162606953842,0.33480825012192933,1
ola_mES_2i_1_53.counts,0.8963471032807172,0.916470956630656,0.28904141758747537,0.11682253116839353,0.14021870267217704,1
ola_mES_2i_1_54.counts,0.8353911326352069,0.8472678878972913,0.19755820040003666,0.05928423982277564,0.02502759452729933,0
ola_mES_2i_1_55.counts,0.8670808557305902,0.9770627837795522,0.29427214914866145,0.09296219884104469,0.14663603460225377,1
ola_mES_2i_1_56.counts,0.8928666447438565,0.9764365116643181,0.30958739766479576,0.09278100600812009,0.18251533742331286,1
ola_mES_2i_1_57.counts,0.8791234339060321,0.9774542038515736,0.34027969188665125,0.14161609237030098,0.3888004723156301,1
ola_mES_2i_1_58.counts,0.8846781828450778,0.913731016126507,0.31629183245952214,0.134632074674721,0.22491304515234747,1
ola_mES_2i_1_59.counts,0.8824140353950988,0.9527947393142321,0.3110679672527346,0.14767079746292736,0.19102632389557717,1
ola_mES_2i_1_6.counts,0.8748017001655647,0.8716925003914201,0.2856320222927639,0.13913552593569517,0.2535840798829479,1
ola_mES_2i_1_60.counts,0.9079939927123917,0.9401910129951464,0.3546156266066941,0.12142976362690015,0.329977603511564,1
ola_mES_2i_1_61.counts,0.917015012424307,0.8651166431814623,0.3091800893365158,0.08723823220991662,0.25873398875683445,1
ola_mES_2i_1_62.counts,0.9111781479911905,0.8830436824800376,0.30980826539794876,0.13325498303601682,0.22743024360192007,1
ola_mES_2i_1_63.counts,0.9309452818226115,0.749726005949585,0.2148636665068888,0.0666910843093086,0.012481710603999281,0
ola_mES_2i_1_64.counts,0.6369687917348837,0.10364803507123846,0.3806115132312622,0.05381292865690719,0.0,0
ola_mES_2i_1_65.counts,0.6077098098825398,0.6100673242523876,0.12890849641024368,0.05719623299428988,0.09722257874066277,0
ola_mES_2i_1_66.counts,0.8916461172372689,0.9213245655237201,0.3266575123221855,0.16516422325508184,0.18053398618990169,1
ola_mES_2i_1_67.counts,0.9462856825730845,0.7633474244559261,0.2899737278498976,0.10863245100977333,0.20609742793336241,1
ola_mES_2i_1_68.counts,0.8912032412468316,0.8642555190230155,0.2945053787038826,0.14255911192387213,0.2145153630926406,1
ola_mES_2i_1_69.counts,0.9276612394765814,0.8427274150618443,0.34107478234789024,0.10503082385486819,0.3022001822522268,1
ola_mES_2i_1_7.counts,0.9199982481300614,0.8826522624080163,0.3081808201979536,0.16499201919793638,0.26232609030469495,1
ola_mES_2i_1_70.counts,0.8996636857282687,0.8446062314075465,0.31460517687359385,0.1097796575052641,0.22953512847498525,1
ola_mES_2i_1_71.counts,0.9249119324723492,0.877094097385314,0.31595443935441486,0.08706334270938484,0.26118220088815874,1
ola_mES_2i_1_72.counts,0.9320248359829011,0.8533740410208236,0.2942401657652391,0.08517379760671046,0.2414055882126447,1
ola_mES_2i_1_73.counts,0.6588317345394048,0.12658525129168624,0.38463282467872667,0.06618901828954785,0.4304617912056883,0
ola_mES_2i_1_74.counts,0.9257136707532868,0.8454673555659934,0.31600258728048375,0.11688578827927042,0.33048296840105756,1
ola_mES_2i_1_75.counts,0.9430585637016701,0.7695318615938626,0.24021847881401845,0.0641665996859896,0.05567035449341582,0
ola_mES_2i_1_76.counts,0.9357720731940848,0.7412713323939252,0.3360693411196521,0.1300952791583671,0.1705101137151218,1
ola_mES_2i_1_77.counts,0.8755536371884157,0.8803820259902928,0.2626419419099265,0.1367728206274874,0.094816079266884,1
ola_mES_2i_1_78.counts,0.8907628767812,0.9484108345075936,0.24512096048854112,0.12906436728063236,0.16280289806709963,1
ola_mES_2i_1_79.counts,0.9091106385854094,0.9282918428056991,0.2817007840637636,0.10299609696912279,0.2198497702595169,1
ola_mES_2i_1_8.counts,0.9045328330070469,0.8793643338030375,0.3110067064970852,0.2587600561929028,0.25151930333444567,1
